route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
57,057,57 - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,SUN.,0.7569,UTA
58,058,58 - GREENFIELD,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6883,UTA
58,058,58 - GREENFIELD,West Mifflin,Bus,2017-01-01,201701,SAT.,0.6677,UTA
58,058,58 - GREENFIELD,West Mifflin,Bus,2017-01-01,201701,SUN.,0.7425,UTA
59,059,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7074,UTA
59,059,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,SAT.,0.7193,UTA
59,059,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,SUN.,0.7561,UTA
60,060,60 - MCKEESPORT - WALNUT,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7407,UTA
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6263,UTA
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-01-01,201701,SAT.,0.746,UTA
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-01-01,201701,SUN.,0.6947,UTA
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6642,UTA
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-01-01,201701,SAT.,0.7754,UTA
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-01-01,201701,SUN.,0.6217,UTA
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6477,UTA
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-01,201701,SAT.,0.6728,UTA
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-01,201701,SUN.,0.6128,UTA
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6759,UTA
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-01-01,201701,SAT.,0.6071,UTA
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-01-01,201701,SUN.,0.5907,UTA
64,064,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin/East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6878,UTA
64,064,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin/East Liberty,Bus,2017-01-01,201701,SAT.,0.7174,UTA
64,064,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin/East Liberty,Bus,2017-01-01,201701,SUN.,0.7343,UTA
65,065,65 - SQUIRREL HILL,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6899,UTA
67,067,67 - MONROEVILLE,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6526,UTA
67,067,67 - MONROEVILLE,East Liberty,Bus,2017-01-01,201701,SAT.,0.6417,UTA
67,067,67 - MONROEVILLE,East Liberty,Bus,2017-01-01,201701,SUN.,0.7663,UTA
68,068,68 - BRADDOCK HILLS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.7612,UTA
68,068,68 - BRADDOCK HILLS,East Liberty,Bus,2017-01-01,201701,SAT.,0.7204,UTA
68,068,68 - BRADDOCK HILLS,East Liberty,Bus,2017-01-01,201701,SUN.,0.7848,UTA
69,069,69 - TRAFFORD,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6316,UTA
69,069,69 - TRAFFORD,East Liberty,Bus,2017-01-01,201701,SAT.,0.6595,UTA
69,069,69 - TRAFFORD,East Liberty,Bus,2017-01-01,201701,SUN.,0.6468,UTA
71,071,71 - EDGEWOOD TOWN CENTER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.7901,UTA
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.5719,UTA
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-01-01,201701,SAT.,0.7589,UTA
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-01-01,201701,SUN.,0.6325,UTA
