STOP_ID;sensor_ID;geometry
E01710;27442@1;LINESTRING (-79.95322099999998 40.44567599337372, -79.95407179999999 40.4438431333728)
N70048;14578@1;LINESTRING (-79.89018999999999 40.48824999339379, -79.89138920999999 40.48667020339305)
S04160;27578@1;LINESTRING (-79.91223100000001 40.40988499335675, -79.90567972999999 40.40670513335526)
E35370;5935@1;LINESTRING (-79.94618699999999 40.4600519933805, -79.94203211999998 40.45591310337855)
E13940;27390@1;LINESTRING (-79.97860899999998 40.44434999337304, -79.97422452000001 40.44136946337166)
E19770;8051@1;LINESTRING (-79.91957099999998 40.43793599337005, -79.91755092 40.43803978337009)
W03830;6708@1;LINESTRING (-80.057761 40.46451199338256, -80.05458841999999 40.4640625933824)
W25430;27665@1;LINESTRING (-80.09454899999999 40.38120599334318, -80.09065196 40.38328988334419)
N53510;14578@1;LINESTRING (-79.889315 40.48797099339367, -79.89138920999999 40.48667020339305)
S70594;6031@1;LINESTRING (-79.861029 40.35222199332949, -79.86463246 40.34947504332818)
E70804;5286@1;LINESTRING (-79.95189500000001 40.45135299337635, -79.95532253999998 40.44993965337574)
P02080;3923@1;LINESTRING (-79.99543299999999 40.44156999337175, -79.99528544 40.44226041337205)
E46070;25091@2;LINESTRING (-79.92506199999998 40.46138599338107, -79.92468519000001 40.46011240338053)
P02030;3923@1;LINESTRING (-79.99427799999999 40.44325899337255, -79.99528544 40.44226041337205)
N17040;27680@1;LINESTRING (-80.00399300000001 40.45407299337765, -80.00484320999999 40.44816330337484)
N45780;5719@1;LINESTRING (-79.994215 40.46699999338374, -79.995092 40.47486924338745)
S00450;38779@1;LINESTRING (-79.986243 40.41871899336095, -79.98640495999999 40.41761039336045)
N27620;14583@1;LINESTRING (-79.768029 40.56337199342915, -79.77746342 40.57350269343394)
E13470;27387@1;LINESTRING (-79.96746999999998 40.44715799337437, -79.96418982999998 40.44887075337524)
E70007;27452@1;LINESTRING (-79.878197 40.41564599335953, -79.87660102 40.41409663335878)
P01600;27409@1;LINESTRING (-79.99221800000001 40.44376299337281, -79.99157553999999 40.44206390337199)
E11660;27470@1;LINESTRING (-79.96129599999999 40.46957799338497, -79.96075939999999 40.46748011338398)
E15650;5286@1;LINESTRING (-79.95098499999999 40.44985199337567, -79.95532253999998 40.44993965337574)
E01150;8054@1;LINESTRING (-79.949505 40.4467949933742, -79.94500005999998 40.44723338337442)
S00590;27559@1;LINESTRING (-79.968378 40.42729599336499, -79.96684881 40.42285580336293)
E41190;3677@2;LINESTRING (-79.92340999999999 40.42957999336612, -79.92597432999999 40.42804634336542)
N30310;77@1;LINESTRING (-80.052246 40.4939649933965, -80.05701308999998 40.48835690339383)
P02830;193@1;LINESTRING (-80.002999 40.4425949933722, -80.00331500999999 40.44152996337172)
E19800;5287@1;LINESTRING (-79.92749999999999 40.4381189933701, -79.92746902 40.43058326336659)
E13650;5935@1;LINESTRING (-79.944537 40.45403899337765, -79.94203211999998 40.45591310337855)
E41960;27428@1;LINESTRING (-79.926233 40.47128999338579, -79.92993197999999 40.46960733338499)
W70098;67@1;LINESTRING (-80.12322999999999 40.35668199333161, -80.11850635 40.35613871333135)
E70378;27432@1;LINESTRING (-79.93417299999999 40.44826299337492, -79.93491467 40.44712716337439)
N31500;5851@2;LINESTRING (-79.93911200000001 40.49547599339716, -79.93803615999998 40.49101831339507)
S01410;39407@1;LINESTRING (-79.88565200000001 40.27296399329188, -79.88758153000001 40.27146725329119)
P00615;19430@1;LINESTRING (-79.998001 40.43986499337096, -79.99768647 40.4368246833695)
S02930;27578@1;LINESTRING (-79.91184799999998 40.40612999335499, -79.90567972999999 40.40670513335526)
E13180;5935@1;LINESTRING (-79.93865699999998 40.45580799337846, -79.94203211999998 40.45591310337855)
W26135;13235@1;LINESTRING (-80.08297399999999 40.41555999335944, -80.08630671000002 40.41683604336004)
S70266;27568@1;LINESTRING (-79.97615999999998 40.38081199334302, -79.98281197999999 40.3843736233447)
