,STOP_ID,geom_from_node,sensor_ID,geom_to_node,geometry
76,N01935,POINT (-8879530.20616613 4127719.179465608),14583@1,POINT (-8880786.604693409 4128515.478783085),"LINESTRING (-79.766177 40.56407599342949, -79.77746342 40.57350269343394)"
77,E19650,POINT (-8897055.90151866 4117068.997379877),27436@1,POINT (-8896669.918995453 4117452.389269849),"LINESTRING (-79.92361299999999 40.43812299337011, -79.92014566 40.44265309337226)"
78,P01150,POINT (-8905489.020863194 4117018.046939417),27771@1,POINT (-8905624.990942029 4117099.448940334),"LINESTRING (-79.99936899999999 40.43752099336987, -80.00059044 40.43848279337031)"
79,P02865,POINT (-8905478.668150552 4117527.700389466),8053@1,POINT (-8905686.992558816 4117315.787508943),"LINESTRING (-79.99927599999999 40.4435429933727, -80.00114740999999 40.44103899337151)"
80,S16570,POINT (-8905926.061184049 4116529.42464643),5484@2,POINT (-8905877.891013995 4116513.782633985),"LINESTRING (-80.00329499999998 40.43174799336715, -80.00286228 40.43156319336704)"
81,E01410,POINT (-8899141.917456634 4117859.856499332),8054@1,POINT (-8899436.698147424 4117840.002986241),"LINESTRING (-79.94235199999999 40.44746799337453, -79.94500005999998 40.44723338337442)"
82,E56040,POINT (-8885907.143196223 4112793.439450156),118@1,POINT (-8886420.562046099 4112954.690157282),"LINESTRING (-79.82346199999999 40.38762399334622, -79.82807411999998 40.38952786334718)"
83,P00850,POINT (-8905187.790321108 4117467.783318258),3923@1,POINT (-8905034.441043371 4117419.156942401),"LINESTRING (-79.996663 40.44283499337235, -79.99528544 40.44226041337205)"
84,P00610,POINT (-8905388.72200199 4117232.08655078),27771@1,POINT (-8905624.990942029 4117099.448940334),"LINESTRING (-79.998468 40.44004999337105, -80.00059044 40.43848279337031)"
85,W26150,POINT (-8913080.008259879 4116885.844532679),27838@1,POINT (-8913238.716457903 4116911.967020008),"LINESTRING (-80.06756 40.43595899336911, -80.0689857 40.43626763336921)"
86,S08140,POINT (-8904254.153751826 4115043.075214639),38779@1,POINT (-8904045.870531771 4115332.654637319),"LINESTRING (-79.988276 40.41418999335882, -79.98640495999999 40.41761039336045)"
87,S42503,POINT (-8906226.512489701 4115623.675652401),27561@1,POINT (-8906657.168637758 4115779.725155126),"LINESTRING (-80.005994 40.42104799336203, -80.00986265 40.42289135336294)"
88,S08860,POINT (-8904309.368219258 4114960.103348933),38779@1,POINT (-8904045.870531771 4115332.654637319),"LINESTRING (-79.988772 40.41320999335832, -79.98640495999999 40.41761039336045)"
89,P01875,POINT (-8905740.82555137 4116976.913864158),5987@2,POINT (-8905711.604185037 4116957.504198417),"LINESTRING (-80.001631 40.43703499336961, -80.0013685 40.4368056633695)"
90,E19130,POINT (-8900841.87740054 4117307.324373114),19400@1,POINT (-8900804.588710709 4117339.438522616),"LINESTRING (-79.957623 40.44093899337144, -79.95728803 40.44131845337165)"
91,E19870,POINT (-8899867.831856098 4117598.449125614),8054@1,POINT (-8899436.698147424 4117840.002986241),"LINESTRING (-79.94887299999999 40.4443789933731, -79.94500005999998 40.44723338337442)"
92,E01010,POINT (-8900532.075257663 4117591.678949106),27442@1,POINT (-8900446.559624834 4117553.100639452),"LINESTRING (-79.95484 40.44429899337303, -79.95407179999999 40.4438431333728)"
93,E70217,POINT (-8901160.028505227 4117775.063302451),27387@1,POINT (-8901572.893572263 4117978.561499369),"LINESTRING (-79.96048099999999 40.44646599337405, -79.96418982999998 40.44887075337524)"
94,P02530,POINT (-8905035.171299232 4117525.246171349),3923@1,POINT (-8905034.441043371 4117419.156942401),"LINESTRING (-79.99529200000001 40.44351399337265, -79.99528544 40.44226041337205)"
95,E19210,POINT (-8900672.003857588 4117402.364676557),19400@1,POINT (-8900804.588710709 4117339.438522616),"LINESTRING (-79.956097 40.44206199337199, -79.95728803 40.44131845337165)"
96,E01420,POINT (-8899177.651013179 4117844.201162441),8054@1,POINT (-8899436.698147424 4117840.002986241),"LINESTRING (-79.94267299999998 40.44728299337442, -79.94500005999998 40.44723338337442)"
97,S70092,POINT (-8899419.659586163 4108865.111596348),6105@1,POINT (-8899591.166186044 4109455.374397377),"LINESTRING (-79.94484699999998 40.34125899332431, -79.94638766999999 40.3482237033276)"
98,P02800,POINT (-8904851.828097895 4117656.164558261),27785@1,POINT (-8904931.26234694 4117758.15105739),"LINESTRING (-79.993645 40.44506099337344, -79.99435856999999 40.44626614337395)"
99,E02050,POINT (-8900712.524152238 4117488.432774541),19400@1,POINT (-8900804.588710709 4117339.438522616),"LINESTRING (-79.956461 40.44307899337246, -79.95728803 40.44131845337165)"
100,N53500,POINT (-8893752.718268352 4121262.150193457),14578@1,POINT (-8893468.76562443 4121176.325256212),"LINESTRING (-79.89394 40.48768499339354, -79.89138920999999 40.48667020339305)"
101,E15720,POINT (-8899854.362197712 4117611.650946981),8054@1,POINT (-8899436.698147424 4117840.002986241),"LINESTRING (-79.94875199999998 40.44453499337315, -79.94500005999998 40.44723338337442)"
